鄉鎮市區,土地移轉總面積平方公尺,建物移轉總面積平方公尺,單價每平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位移轉總面積平方公尺,車位總價元,屋齡,建築完成年,交易年,總價元,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
北投區,8.88,113.68,162738,2,1,1,35.66,0,10,96,106,1850,0,0,0,0,1,0,0,0,0,0,0,0
大安區,13.44,93.92,260860,2,2,2,0,0,34,72,106,2450,0,0,0,0,0,0,0,0,1,0,0,0
北投區,18.51,181.01,121540,3,2,2,34.98,0,9,97,106,2200,0,0,0,0,1,0,0,0,0,0,0,0
內湖區,107.32,672.78,202655,9,1,0,162.05,9000000,11,95,106,11250,0,0,0,1,0,0,0,0,0,0,0,0
大同區,18.48,90.86,115562,1,1,1,17.21,0,1,105,106,1050,0,0,0,0,0,0,0,1,0,0,0,0
中正區,3.53,34.16,222482,1,1,1,0,0,10,96,106,760,0,1,0,0,0,0,0,0,0,0,0,0
信義區,39.33,217.13,179324,3,2,2,58.2,2500000,9,97,106,3100,0,0,1,0,0,0,0,0,0,0,0,0
松山區,9.16,110.48,191890,3,2,1,0,0,39,67,106,2120,0,0,0,0,0,0,0,0,0,0,1,0
松山區,29.75,82.94,218471,3,2,2,0,0,45,61,106,1812,0,0,0,0,0,0,0,0,0,0,1,0
士林區,7.99,40.34,240456,1,1,1,0,0,9,97,106,970,0,0,0,0,0,0,1,0,0,0,0,0
士林區,14.5,123.13,142126,2,1,1,0,1900000,1,105,106,1750,0,0,0,0,0,0,1,0,0,0,0,0
萬華區,3,35.62,168445,1,1,1,0,0,38,68,106,600,0,0,0,0,0,0,0,0,0,0,0,1
中正區,2.15,30.04,172437,1,1,1,0,0,29,77,106,518,0,1,0,0,0,0,0,0,0,0,0,0
中山區,19.56,182.43,156216,3,2,2,0,2500000,29,77,106,2850,1,0,0,0,0,0,0,0,0,0,0,0
中山區,40.25,111.3,161725,3,2,3,0,0,43,63,106,1800,1,0,0,0,0,0,0,0,0,0,0,0
中山區,3.79,37.2,165591,1,1,1,0,0,14,92,106,616,1,0,0,0,0,0,0,0,0,0,0,0
大同區,10.75,194.8,161713,3,2,2,38.69,0,28,78,106,3150,0,0,0,0,0,0,0,1,0,0,0,0
中山區,4.19,52.49,224805,2,1,1,0,0,5,101,106,1180,1,0,0,0,0,0,0,0,0,0,0,0
中山區,27.55,321.67,216993,4,2,3,59.54,0,2,104,106,6980,1,0,0,0,0,0,0,0,0,0,0,0
中山區,31.07,238.12,251974,0,0,0,0,0,9,97,106,6000,1,0,0,0,0,0,0,0,0,0,0,0
中正區,31.69,142.28,175710,4,1,3,0,0,38,68,106,2500,0,1,0,0,0,0,0,0,0,0,0,0
中正區,13.96,89.38,258223,0,0,0,17.43,0,2,104,106,2308,0,1,0,0,0,0,0,0,0,0,0,0
文山區,13.92,124.25,183486,2,2,1,35.36,0,6,100,106,2280,0,0,0,0,0,0,0,0,0,1,0,0
中正區,0,19.74,141844,2,2,1,0,0,50,56,106,280,0,1,0,0,0,0,0,0,0,0,0,0
萬華區,26.49,99.89,120132,3,2,1,0,0,35,71,106,1200,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,24.75,83.55,89767,4,2,2,0,0,43,63,106,750,0,0,0,0,0,0,0,0,0,0,0,1
大同區,33.75,86.42,114557,6,2,2,0,0,43,63,106,990,0,0,0,0,0,0,0,1,0,0,0,0
松山區,3.29,37.58,228313,1,1,1,0,0,31,75,106,858,0,0,0,0,0,0,0,0,0,0,1,0
信義區,25.25,80.57,186174,3,2,2,0,0,43,63,106,1500,0,0,1,0,0,0,0,0,0,0,0,0
中山區,17.61,230.72,238384,3,2,2,26.66,0,4,102,106,5500,1,0,0,0,0,0,0,0,0,0,0,0
松山區,4.44,46.05,210641,1,1,1,0,0,29,77,106,970,0,0,0,0,0,0,0,0,0,0,1,0
信義區,14.44,119.65,213104,1,1,1,0,0,11,95,106,2550,0,0,1,0,0,0,0,0,0,0,0,0
士林區,14.82,77.31,106080,1,1,1,0,0,16,90,106,820,0,0,0,0,0,0,1,0,0,0,0,0
士林區,23.26,120.45,212370,2,2,2,0,0,35,71,106,2558,0,0,0,0,0,0,1,0,0,0,0,0
北投區,40.5,108.38,106108,3,2,1,0,0,38,68,106,1150,0,0,0,0,1,0,0,0,0,0,0,0
士林區,37.25,96.18,155958,4,2,2,0,0,48,58,106,1500,0,0,0,0,0,0,1,0,0,0,0,0
北投區,11.45,44.09,81651,0,0,0,0,0,40,66,106,360,0,0,0,0,1,0,0,0,0,0,0,0
士林區,11.92,114.7,250663,1,2,1,31.72,2200000,1,105,106,2300,0,0,0,0,0,0,1,0,0,0,0,0
北投區,20.51,62.82,87552,2,1,1,0,0,17,89,106,550,0,0,0,0,1,0,0,0,0,0,0,0
北投區,11.41,43.73,118912,1,1,1,0,0,32,74,106,520,0,0,0,0,1,0,0,0,0,0,0,0
士林區,58.26,278.85,139138,3,2,2,32.43,0,37,69,106,3880,0,0,0,0,0,0,1,0,0,0,0,0
士林區,14.27,86.86,169238,2,2,2,0,0,41,65,106,1470,0,0,0,0,0,0,1,0,0,0,0,0
士林區,29.92,112.81,153355,4,2,2,0,0,31,75,106,1730,0,0,0,0,0,0,1,0,0,0,0,0
北投區,22.5,94.04,205232,2,2,2,0,0,2,104,106,1930,0,0,0,0,1,0,0,0,0,0,0,0
北投區,26.05,116.65,102872,0,0,0,0,0,28,78,106,1200,0,0,0,0,1,0,0,0,0,0,0,0
士林區,58.62,210.83,94863,3,2,2,0,0,20,86,106,2000,0,0,0,0,0,0,1,0,0,0,0,0
士林區,54.83,175.25,99852,6,2,2,0,0,28,78,106,1750,0,0,0,0,0,0,1,0,0,0,0,0
士林區,72.53,376.34,214912,3,2,2,105.66,0,15,91,106,8088,0,0,0,0,0,0,1,0,0,0,0,0
士林區,19.5,58.32,147462,2,2,1,0,0,44,62,106,860,0,0,0,0,0,0,1,0,0,0,0,0
北投區,32.83,230.62,130084,4,2,2,0,0,5,101,106,3000,0,0,0,0,1,0,0,0,0,0,0,0
松山區,7.13,72.17,180130,2,1,1,0,0,28,78,106,1300,0,0,0,0,0,0,0,0,0,0,1,0
南港區,50.5,81.72,165198,3,2,1,0,0,48,58,106,1350,0,0,0,0,0,1,0,0,0,0,0,0
松山區,18.51,94.19,196412,3,4,2,0,0,35,71,106,1850,0,0,0,0,0,0,0,0,0,0,1,0
南港區,27.74,94.79,131870,2,2,1,0,0,32,74,106,1250,0,0,0,0,0,1,0,0,0,0,0,0
信義區,17.7,132.46,191001,3,1,2,18.55,0,21,85,106,2530,0,0,1,0,0,0,0,0,0,0,0,0
南港區,27.75,209.5,139379,3,2,2,51.95,0,4,102,106,2920,0,0,0,0,0,1,0,0,0,0,0,0
中山區,2.83,31.01,104805,1,1,1,0,0,33,73,106,325,1,0,0,0,0,0,0,0,0,0,0,0
內湖區,30.3,382.88,176026,4,2,3,69.3,3800000,2,104,106,5900,0,0,0,1,0,0,0,0,0,0,0,0
信義區,24,69.3,297258,0,0,2,0,0,34,72,106,2060,0,0,1,0,0,0,0,0,0,0,0,0
南港區,35.21,169.67,180350,2,2,2,33.67,0,7,99,106,3060,0,0,0,0,0,1,0,0,0,0,0,0
信義區,38.05,118.94,100891,2,2,1,0,0,36,70,106,1200,0,0,1,0,0,0,0,0,0,0,0,0
信義區,10.55,68.39,144758,2,1,1,0,0,33,73,106,990,0,0,1,0,0,0,0,0,0,0,0,0
內湖區,55.36,342.96,99720,3,2,2,0,0,18,88,106,3420,0,0,0,1,0,0,0,0,0,0,0,0
中山區,3.54,34,188235,1,1,1,0,0,9,97,106,640,1,0,0,0,0,0,0,0,0,0,0,0
內湖區,80.54,127.95,169441,3,2,2,0,0,1,105,106,2168,0,0,0,1,0,0,0,0,0,0,0,0
中正區,52.19,474.13,234113,0,0,0,0,0,35,71,106,11100,0,1,0,0,0,0,0,0,0,0,0,0
大同區,19.78,130.03,175344,3,2,1,0,0,5,101,106,2280,0,0,0,0,0,0,0,1,0,0,0,0
萬華區,1.24,11.33,110327,0,0,0,0,0,35,71,106,125,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,36.67,71.2,182584,0,0,0,0,0,48,58,106,1300,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,31,115.55,47598,5,2,2,0,0,41,65,106,550,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,12.9,127.86,111841,3,2,2,0,0,30,76,106,1430,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,20.34,72.65,123882,3,2,1,0,0,35,71,106,900,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,12.61,124.34,95544,3,2,2,0,0,30,76,106,1188,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,3.44,24.69,149858,0,1,1,0,0,23,83,106,370,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,11.9,31.18,94933,0,0,0,0,0,42,64,106,296,0,0,0,0,0,0,0,0,0,0,0,1
中正區,21.77,144.4,176593,3,2,2,0,0,36,70,106,2550,0,1,0,0,0,0,0,0,0,0,0,0
文山區,16.46,63.65,164965,2,1,1,0,0,1,105,106,1050,0,0,0,0,0,0,0,0,0,1,0,0
文山區,40.38,148.43,94321,3,2,2,0,0,22,84,106,1400,0,0,0,0,0,0,0,0,0,1,0,0
中山區,16.5,87.93,161492,2,2,1,0,0,35,71,106,1420,1,0,0,0,0,0,0,0,0,0,0,0
中山區,2.71,29.63,129936,1,1,1,0,0,35,71,106,385,1,0,0,0,0,0,0,0,0,0,0,0
萬華區,38.16,150.67,141054,3,2,2,31.85,440000,16,90,106,1720,0,0,0,0,0,0,0,0,0,0,0,1
大安區,12.12,143.37,227384,4,2,2,0,0,33,73,106,3260,0,0,0,0,0,0,0,0,1,0,0,0
士林區,26.25,71.16,168634,2,2,1,0,0,44,62,106,1200,0,0,0,0,0,0,1,0,0,0,0,0
士林區,13.66,97.93,209333,4,2,3,0,0,38,68,106,2050,0,0,0,0,0,0,1,0,0,0,0,0
士林區,141,189.96,321120,4,2,2,0,0,45,61,106,6100,0,0,0,0,0,0,1,0,0,0,0,0
南港區,29.6,174.74,130766,4,1,2,0,0,19,87,106,2285,0,0,0,0,0,1,0,0,0,0,0,0
松山區,20.47,189.27,237734,3,2,2,37.84,2500000,2,104,106,3850,0,0,0,0,0,0,0,0,0,0,1,0
